path,shape_a,shape_b,shape_c,sigma,pixels,border,is_exp,is_date
/media/juan/jc/archivos_represion/Ficheros/Gobernadores/Ruben_Figueroa/Ruben_figueroa_Fichas.-78-.JPG,3456,4608,3,0.33,900,5,0,0
/media/juan/jc/archivos_represion/Ficheros/Gobernadores/Ruben_Figueroa/Ruben_figueroa_Fichas.-78-.JPG,3456,4608,3,0.33,1100,5,0,0
/media/juan/jc/archivos_represion/Ficheros/Gobernadores/Ruben_Figueroa/Ruben_figueroa_Fichas.-78-.JPG,3456,4608,3,0.33,1200,5,1,0
/media/juan/jc/archivos_represion/Ficheros/Gobernadores/Ruben_Figueroa/Ruben_figueroa_Fichas.-78-.JPG,3456,4608,3,0.33,1300,5,0,0
/media/juan/jc/archivos_represion/Ficheros/Asociacion_Civica_Guerrerense/62-04-00_a_62-12-26/ACG_fichas-109-.JPG,1944,2592,3,0.33,900,5,0,0
/media/juan/jc/archivos_represion/Ficheros/Asociacion_Civica_Guerrerense/62-04-00_a_62-12-26/ACG_fichas-109-.JPG,1944,2592,3,0.33,1100,5,0,0
/media/juan/jc/archivos_represion/Ficheros/Asociacion_Civica_Guerrerense/62-04-00_a_62-12-26/ACG_fichas-109-.JPG,1944,2592,3,0.33,1200,5,0,0
/media/juan/jc/archivos_represion/Ficheros/Asociacion_Civica_Guerrerense/62-04-00_a_62-12-26/ACG_fichas-109-.JPG,1944,2592,3,0.33,1300,5,0,0
/media/juan/jc/archivos_represion/Ficheros/Plan_Telarana/IMG_6183.JPG,4608,3456,3,0.33,900,5,0,0
/media/juan/jc/archivos_represion/Ficheros/Plan_Telarana/IMG_6183.JPG,4608,3456,3,0.33,1100,5,0,0
/media/juan/jc/archivos_represion/Ficheros/Plan_Telarana/IMG_6183.JPG,4608,3456,3,0.33,1200,5,0,0
/media/juan/jc/archivos_represion/Ficheros/Plan_Telarana/IMG_6183.JPG,4608,3456,3,0.33,1300,5,0,0
/media/juan/jc/archivos_represion/Ficheros/Lucio_Cabanas_Barrientos/73-05-02_a_77-07-21/DSC02759.JPG,1944,2592,3,0.33,900,5,1,0
/media/juan/jc/archivos_represion/Ficheros/Lucio_Cabanas_Barrientos/73-05-02_a_77-07-21/DSC02759.JPG,1944,2592,3,0.33,1100,5,1,0
/media/juan/jc/archivos_represion/Ficheros/Lucio_Cabanas_Barrientos/73-05-02_a_77-07-21/DSC02759.JPG,1944,2592,3,0.33,1200,5,1,0
/media/juan/jc/archivos_represion/Ficheros/Lucio_Cabanas_Barrientos/73-05-02_a_77-07-21/DSC02759.JPG,1944,2592,3,0.33,1300,5,0,0
/media/juan/jc/archivos_represion/Ficheros/Brigada_Campesina_de_Ajusticiamiento/BCA/Brigada_Campesina_de_Ajusticiamiento-48-.JPG,3456,4608,3,0.33,900,5,1,0
/media/juan/jc/archivos_represion/Ficheros/Brigada_Campesina_de_Ajusticiamiento/BCA/Brigada_Campesina_de_Ajusticiamiento-48-.JPG,3456,4608,3,0.33,1100,5,1,0
/media/juan/jc/archivos_represion/Ficheros/Brigada_Campesina_de_Ajusticiamiento/BCA/Brigada_Campesina_de_Ajusticiamiento-48-.JPG,3456,4608,3,0.33,1200,5,1,0
/media/juan/jc/archivos_represion/Ficheros/Brigada_Campesina_de_Ajusticiamiento/BCA/Brigada_Campesina_de_Ajusticiamiento-48-.JPG,3456,4608,3,0.33,1300,5,1,0
"/media/juan/jc/archivos_represion/Ficheros/Represores/Alanis_Fuentes_Agustin/79-07-16_a_85-11-20/De_79-07-16_a_85-11-20,_ALANIS_FUENTES,_Agustin-49-.JPG",4608,3456,3,0.33,900,5,1,0
"/media/juan/jc/archivos_represion/Ficheros/Represores/Alanis_Fuentes_Agustin/79-07-16_a_85-11-20/De_79-07-16_a_85-11-20,_ALANIS_FUENTES,_Agustin-49-.JPG",4608,3456,3,0.33,1100,5,0,0
"/media/juan/jc/archivos_represion/Ficheros/Represores/Alanis_Fuentes_Agustin/79-07-16_a_85-11-20/De_79-07-16_a_85-11-20,_ALANIS_FUENTES,_Agustin-49-.JPG",4608,3456,3,0.33,1200,5,0,0
"/media/juan/jc/archivos_represion/Ficheros/Represores/Alanis_Fuentes_Agustin/79-07-16_a_85-11-20/De_79-07-16_a_85-11-20,_ALANIS_FUENTES,_Agustin-49-.JPG",4608,3456,3,0.33,1300,5,1,0
/media/juan/jc/archivos_represion/Ficheros/Gobernadores/Ruben_Figueroa/Ruben_figueroa_Fichas.-11-.JPG,3456,4608,3,0.33,900,5,1,1
/media/juan/jc/archivos_represion/Ficheros/Gobernadores/Ruben_Figueroa/Ruben_figueroa_Fichas.-11-.JPG,3456,4608,3,0.33,1100,5,1,0
/media/juan/jc/archivos_represion/Ficheros/Gobernadores/Ruben_Figueroa/Ruben_figueroa_Fichas.-11-.JPG,3456,4608,3,0.33,1200,5,1,1
/media/juan/jc/archivos_represion/Ficheros/Gobernadores/Ruben_Figueroa/Ruben_figueroa_Fichas.-11-.JPG,3456,4608,3,0.33,1300,5,1,1
"/media/juan/jc/archivos_represion/Ficheros/UAG/79-07-12_a_80-03-04/UAG,_fichas-38-.JPG",4608,3456,3,0.33,900,5,0,0
"/media/juan/jc/archivos_represion/Ficheros/UAG/79-07-12_a_80-03-04/UAG,_fichas-38-.JPG",4608,3456,3,0.33,1100,5,0,0
"/media/juan/jc/archivos_represion/Ficheros/UAG/79-07-12_a_80-03-04/UAG,_fichas-38-.JPG",4608,3456,3,0.33,1200,5,0,0
"/media/juan/jc/archivos_represion/Ficheros/UAG/79-07-12_a_80-03-04/UAG,_fichas-38-.JPG",4608,3456,3,0.33,1300,5,1,0
/media/juan/jc/archivos_represion/Ficheros/Genaro_Vazquez_Rojas/68-04-22_a_75-02-04/Genaro_Fichas-83-.JPG,1944,2592,3,0.33,900,5,0,1
/media/juan/jc/archivos_represion/Ficheros/Genaro_Vazquez_Rojas/68-04-22_a_75-02-04/Genaro_Fichas-83-.JPG,1944,2592,3,0.33,1100,5,0,1
