path,shape_a,shape_b,shape_c,sigma,pixels,border,is_exp,is_date
"/media/juan/jc/archivos_represion/Ficheros/UPCEG,_Version_Publica-59-04-09_a_85-12-04-,_Guerrero/UPCEG,_2_de_4-67-04-21_a_69-09-18-/2_de_4-67-04-21_a_69-09-18-286-.JPG",3456,4608,3,0.33,900,5,0,0
"/media/juan/jc/archivos_represion/Ficheros/UPCEG,_Version_Publica-59-04-09_a_85-12-04-,_Guerrero/UPCEG,_2_de_4-67-04-21_a_69-09-18-/2_de_4-67-04-21_a_69-09-18-286-.JPG",3456,4608,3,0.33,1100,5,0,0
"/media/juan/jc/archivos_represion/Ficheros/UPCEG,_Version_Publica-59-04-09_a_85-12-04-,_Guerrero/UPCEG,_2_de_4-67-04-21_a_69-09-18-/2_de_4-67-04-21_a_69-09-18-286-.JPG",3456,4608,3,0.33,1200,5,0,0
"/media/juan/jc/archivos_represion/Ficheros/UPCEG,_Version_Publica-59-04-09_a_85-12-04-,_Guerrero/UPCEG,_2_de_4-67-04-21_a_69-09-18-/2_de_4-67-04-21_a_69-09-18-286-.JPG",3456,4608,3,0.33,1300,5,0,0
"/media/juan/jc/archivos_represion/Ficheros/Detenidos_Desaparecidos/Arenas_Bautista_Marcelo/74-08-09,_ARENAS_BAUTISTA,_Marcelo-3-.JPG",3456,4608,3,0.33,900,5,0,0
"/media/juan/jc/archivos_represion/Ficheros/Detenidos_Desaparecidos/Arenas_Bautista_Marcelo/74-08-09,_ARENAS_BAUTISTA,_Marcelo-3-.JPG",3456,4608,3,0.33,1100,5,1,0
"/media/juan/jc/archivos_represion/Ficheros/Detenidos_Desaparecidos/Arenas_Bautista_Marcelo/74-08-09,_ARENAS_BAUTISTA,_Marcelo-3-.JPG",3456,4608,3,0.33,1200,5,1,0
"/media/juan/jc/archivos_represion/Ficheros/Detenidos_Desaparecidos/Arenas_Bautista_Marcelo/74-08-09,_ARENAS_BAUTISTA,_Marcelo-3-.JPG",3456,4608,3,0.33,1300,5,0,0
"/media/juan/jc/archivos_represion/Ficheros/PPUA/Fichas/PPUA,_Fichas-7-.JPG",3456,4608,3,0.33,900,5,1,0
"/media/juan/jc/archivos_represion/Ficheros/PPUA/Fichas/PPUA,_Fichas-7-.JPG",3456,4608,3,0.33,1100,5,1,0
"/media/juan/jc/archivos_represion/Ficheros/PPUA/Fichas/PPUA,_Fichas-7-.JPG",3456,4608,3,0.33,1200,5,1,0
"/media/juan/jc/archivos_represion/Ficheros/PPUA/Fichas/PPUA,_Fichas-7-.JPG",3456,4608,3,0.33,1300,5,1,0
"/media/juan/jc/archivos_represion/Ficheros/FAR,_concentrado_general/FAR,_concentrado_general-106-.JPG",3264,2448,3,0.33,900,5,0,0
"/media/juan/jc/archivos_represion/Ficheros/FAR,_concentrado_general/FAR,_concentrado_general-106-.JPG",3264,2448,3,0.33,1100,5,0,0
"/media/juan/jc/archivos_represion/Ficheros/FAR,_concentrado_general/FAR,_concentrado_general-106-.JPG",3264,2448,3,0.33,1200,5,0,0
"/media/juan/jc/archivos_represion/Ficheros/FAR,_concentrado_general/FAR,_concentrado_general-106-.JPG",3264,2448,3,0.33,1300,5,0,0
"/media/juan/jc/archivos_represion/Ficheros/VARP/VARP_2/84-11-28,VARP-20-.JPG",3456,4608,3,0.33,900,5,0,0
"/media/juan/jc/archivos_represion/Ficheros/VARP/VARP_2/84-11-28,VARP-20-.JPG",3456,4608,3,0.33,1100,5,0,0
"/media/juan/jc/archivos_represion/Ficheros/VARP/VARP_2/84-11-28,VARP-20-.JPG",3456,4608,3,0.33,1200,5,0,0
"/media/juan/jc/archivos_represion/Ficheros/VARP/VARP_2/84-11-28,VARP-20-.JPG",3456,4608,3,0.33,1300,5,0,0
/media/juan/jc/archivos_represion/Ficheros/UAG/60-05-13_a_65-03-24/UAG_fichas-37-.JPG,3456,4608,3,0.33,900,5,1,0
/media/juan/jc/archivos_represion/Ficheros/UAG/60-05-13_a_65-03-24/UAG_fichas-37-.JPG,3456,4608,3,0.33,1100,5,0,0
/media/juan/jc/archivos_represion/Ficheros/UAG/60-05-13_a_65-03-24/UAG_fichas-37-.JPG,3456,4608,3,0.33,1200,5,0,0
/media/juan/jc/archivos_represion/Ficheros/UAG/60-05-13_a_65-03-24/UAG_fichas-37-.JPG,3456,4608,3,0.33,1300,5,1,0
/media/juan/jc/archivos_represion/Ficheros/Detenidos_Desaparecidos/Olea_Hernandez_Adanto/Olea_Hernandez_Adanto-3-.JPG,1728,2304,3,0.33,900,5,1,0
/media/juan/jc/archivos_represion/Ficheros/Detenidos_Desaparecidos/Olea_Hernandez_Adanto/Olea_Hernandez_Adanto-3-.JPG,1728,2304,3,0.33,1100,5,1,0
/media/juan/jc/archivos_represion/Ficheros/Detenidos_Desaparecidos/Olea_Hernandez_Adanto/Olea_Hernandez_Adanto-3-.JPG,1728,2304,3,0.33,1200,5,1,0
/media/juan/jc/archivos_represion/Ficheros/Detenidos_Desaparecidos/Olea_Hernandez_Adanto/Olea_Hernandez_Adanto-3-.JPG,1728,2304,3,0.33,1300,5,1,0
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Tellez_Pacheco_Enrique/IMG_8008.JPG,3456,4608,3,0.33,900,5,1,0
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Tellez_Pacheco_Enrique/IMG_8008.JPG,3456,4608,3,0.33,1100,5,1,0
