path,shape_a,shape_b,shape_c,sigma,pixels,border,is_exp,is_date
"/media/juan/jc/archivos_represion/Ficheros/UAG/72-02-29_a_73-05-11/UAG,_fichas-85-.JPG",3456,4608,3,0.33,900,15,1,0
"/media/juan/jc/archivos_represion/Ficheros/UAG/72-02-29_a_73-05-11/UAG,_fichas-85-.JPG",3456,4608,3,0.01,900,15,1,0
"/media/juan/jc/archivos_represion/Ficheros/UAG/72-02-29_a_73-05-11/UAG,_fichas-85-.JPG",3456,4608,3,0.33,1100,15,1,0
"/media/juan/jc/archivos_represion/Ficheros/UAG/72-02-29_a_73-05-11/UAG,_fichas-85-.JPG",3456,4608,3,0.01,1100,15,1,0
"/media/juan/jc/archivos_represion/Ficheros/UAG/72-02-29_a_73-05-11/UAG,_fichas-85-.JPG",3456,4608,3,0.33,1200,15,1,0
"/media/juan/jc/archivos_represion/Ficheros/UAG/72-02-29_a_73-05-11/UAG,_fichas-85-.JPG",3456,4608,3,0.01,1200,15,1,0
"/media/juan/jc/archivos_represion/Ficheros/UAG/72-02-29_a_73-05-11/UAG,_fichas-85-.JPG",3456,4608,3,0.33,1300,15,1,0
"/media/juan/jc/archivos_represion/Ficheros/UAG/72-02-29_a_73-05-11/UAG,_fichas-85-.JPG",3456,4608,3,0.01,1300,15,1,0
"/media/juan/jc/archivos_represion/Ficheros/UAG/72-02-29_a_73-05-11/UAG,_fichas-85-.JPG",3456,4608,3,0.33,1700,15,1,0
"/media/juan/jc/archivos_represion/Ficheros/UAG/72-02-29_a_73-05-11/UAG,_fichas-85-.JPG",3456,4608,3,0.01,1700,15,1,0
/media/juan/jc/archivos_represion/Ficheros/Detenidos_Desaparecidos/Baena_Wences_Jesus/BAHENA_WENCES_JESUS-2-.JPG,1728,2304,3,0.33,900,15,0,0
/media/juan/jc/archivos_represion/Ficheros/Detenidos_Desaparecidos/Baena_Wences_Jesus/BAHENA_WENCES_JESUS-2-.JPG,1728,2304,3,0.01,900,15,0,0
/media/juan/jc/archivos_represion/Ficheros/Detenidos_Desaparecidos/Baena_Wences_Jesus/BAHENA_WENCES_JESUS-2-.JPG,1728,2304,3,0.33,1100,15,1,0
/media/juan/jc/archivos_represion/Ficheros/Detenidos_Desaparecidos/Baena_Wences_Jesus/BAHENA_WENCES_JESUS-2-.JPG,1728,2304,3,0.01,1100,15,1,0
/media/juan/jc/archivos_represion/Ficheros/Detenidos_Desaparecidos/Baena_Wences_Jesus/BAHENA_WENCES_JESUS-2-.JPG,1728,2304,3,0.33,1200,15,1,0
/media/juan/jc/archivos_represion/Ficheros/Detenidos_Desaparecidos/Baena_Wences_Jesus/BAHENA_WENCES_JESUS-2-.JPG,1728,2304,3,0.01,1200,15,1,0
/media/juan/jc/archivos_represion/Ficheros/Detenidos_Desaparecidos/Baena_Wences_Jesus/BAHENA_WENCES_JESUS-2-.JPG,1728,2304,3,0.33,1300,15,0,0
/media/juan/jc/archivos_represion/Ficheros/Detenidos_Desaparecidos/Baena_Wences_Jesus/BAHENA_WENCES_JESUS-2-.JPG,1728,2304,3,0.01,1300,15,0,0
/media/juan/jc/archivos_represion/Ficheros/Detenidos_Desaparecidos/Baena_Wences_Jesus/BAHENA_WENCES_JESUS-2-.JPG,1728,2304,3,0.33,1700,15,1,1
/media/juan/jc/archivos_represion/Ficheros/Detenidos_Desaparecidos/Baena_Wences_Jesus/BAHENA_WENCES_JESUS-2-.JPG,1728,2304,3,0.01,1700,15,1,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Gallardo_Moreno_Juan/IMG_0083.JPG,3456,4608,3,0.33,900,15,1,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Gallardo_Moreno_Juan/IMG_0083.JPG,3456,4608,3,0.01,900,15,1,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Gallardo_Moreno_Juan/IMG_0083.JPG,3456,4608,3,0.33,1100,15,1,0
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Gallardo_Moreno_Juan/IMG_0083.JPG,3456,4608,3,0.01,1100,15,1,0
