path,h,w,c,is_horizontal
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Adame_Flores_samuel/IMG_6837.JPG,3456,4608,3,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Adame_Flores_samuel/IMG_6838.JPG,3456,4608,3,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Adame_Flores_samuel/IMG_6839.JPG,3456,4608,3,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Adame_Flores_samuel/IMG_6840.JPG,4608,3456,3,0
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Adame_Flores_samuel/IMG_6841.JPG,3456,4608,3,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Adame_Flores_samuel/IMG_6842.JPG,3456,4608,3,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Adame_Flores_samuel/IMG_6843.JPG,3456,4608,3,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Adame_Flores_samuel/IMG_6845.JPG,3456,4608,3,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Aguilar_Martinez_Blanca_Araceli/IMG_0084.JPG,2448,3264,3,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Aguilar_Martinez_Blanca_Araceli/IMG_0085.JPG,2448,3264,3,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Aguilar_Martinez_Blanca_Araceli/IMG_0086.JPG,2448,3264,3,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Aguilar_Martinez_Blanca_Araceli/IMG_0087.JPG,2448,3264,3,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Aguilar_Martinez_Blanca_Araceli/IMG_0088.JPG,2448,3264,3,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Alvarado_Vazquez_Blanca_Luz/IMG_6848.JPG,3456,4608,3,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Alvarado_Vazquez_Blanca_Luz/IMG_6849.JPG,3456,4608,3,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Alvarado_Vazquez_Blanca_Luz/IMG_6850.JPG,3456,4608,3,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Alvarado_Vazquez_Blanca_Luz/IMG_6851.JPG,3456,4608,3,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Alvarado_Vazquez_Blanca_Luz/IMG_6852.JPG,3456,4608,3,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Alvarado_Vazquez_Blanca_Luz/IMG_6853.JPG,3456,4608,3,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Avila_Juarez_Fausto/DSC05212.JPG,2432,4320,3,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Avila_Juarez_Fausto/DSC05213.JPG,2432,4320,3,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Avila_Juarez_Fausto/DSC05214.JPG,2432,4320,3,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Avila_Juarez_Fausto/DSC05215.JPG,2432,4320,3,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Avila_Juarez_Fausto/DSC05216.JPG,2432,4320,3,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Avila_Juarez_Fausto/DSC05217.JPG,2432,4320,3,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Avila_Juarez_Fausto/DSC05219.JPG,2432,4320,3,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Avila_Juarez_Fausto/DSC05220.JPG,2432,4320,3,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Avila_Juarez_Fausto/DSC05221.JPG,2432,4320,3,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Avila_Juarez_Fausto/DSC05222.JPG,2432,4320,3,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Avila_Juarez_Fausto/DSC05223.JPG,2432,4320,3,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Avila_Juarez_Fausto/DSC05224.JPG,2432,4320,3,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Avila_Juarez_Fausto/DSC05225.JPG,2432,4320,3,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Avila_Juarez_Fausto/DSC05226.JPG,2432,4320,3,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Avila_Juarez_Fausto/DSC05227.JPG,2432,4320,3,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Avila_Juarez_Fausto/DSC05228.JPG,2432,4320,3,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Avila_Juarez_Fausto/DSC05229.JPG,2432,4320,3,1
/media/juan/jc/archivos_represion/Ficheros/ACNR_militantes/Avila_Juarez_Fausto/DSC05230.JPG,2432,4320,3,1
